id_rumah_sakit,root_cause_primary,root_cause_secondary,root_cause_multilabel,root_cause_strength,root_cause_confidence_gap,cause_score_it_capability,cause_score_infrastructure,cause_score_adoption,cause_score_investment_conversion,cause_score_capacity,cause_score_integration
RS0040,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.46017699115044247,0.40707964601769914,0.053097345132743334,0.017699115044247815,0.04424778761061943,0.0,0.46017699115044247,0.0
RS0041,Tekanan Kapasitas,,Tekanan Kapasitas,0.7905405405405406,0.43918918918918926,0.027027027027026973,0.3513513513513513,0.2702702702702703,0.0,0.7905405405405406,0.0
RS0042,Tekanan Kapasitas,,Tekanan Kapasitas,0.8716814159292036,0.23451327433628322,0.23893805309734517,0.47787610619469023,0.6371681415929203,0.0,0.8716814159292036,0.0
RS0043,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5890410958904109,0.2739726027397259,0.31506849315068497,0.1917808219178082,0.3013698630136986,0.0,0.5890410958904109,0.0
RS0044,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5890410958904109,0.20547945205479445,0.136986301369863,0.1643835616438356,0.3835616438356164,0.0,0.5890410958904109,0.0
RS0045,Tidak ada bottleneck dominan,,Tekanan Kapasitas,0.7027027027027027,0.29729729729729737,0.4054054054054054,0.04054054054054057,0.3783783783783784,0.0,0.7027027027027027,0.0
RS0046,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.452054794520548,0.06849315068493156,0.452054794520548,0.3835616438356164,0.0547945205479452,0.0,0.363013698630137,0.0
RS0047,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.4863013698630137,0.0068493150684931225,0.4794520547945206,0.0821917808219178,0.0273972602739726,0.0,0.4863013698630137,0.0
RS0048,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5309734513274336,0.08849557522123885,0.5309734513274336,0.008849557522123908,0.23893805309734517,0.0,0.4424778761061947,0.0
RS0049,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5,0.03378378378378377,0.46621621621621623,0.5,0.21621621621621623,0.0,0.3648648648648649,0.0
RS0050,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.4726027397260274,0.14383561643835618,0.3287671232876712,0.1095890410958904,0.26027397260273977,0.0,0.4726027397260274,0.0
RS0051,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5405405405405406,0.10810810810810811,0.43243243243243246,0.29729729729729726,0.5405405405405406,0.0,0.31081081081081086,0.0
RS0052,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5088495575221239,0.12831858407079644,0.38053097345132747,0.19469026548672563,0.2831858407079646,0.0,0.5088495575221239,0.0
RS0053,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.584070796460177,0.03539823008849563,0.5132743362831859,0.584070796460177,0.4247787610619469,0.5486725663716814,0.5221238938053098,0.0
RS0054,Tidak ada bottleneck dominan,,Kesenjangan Kapabilitas IT,0.7162162162162162,0.08108108108108114,0.7162162162162162,0.44594594594594594,0.5945945945945945,0.5,0.6351351351351351,0.0
RS0055,Kesenjangan Adopsi,Gap Konversi Investasi — indikator relatif,Kesenjangan Adopsi; Gap Konversi Investasi — indikator relatif,0.8230088495575221,0.1327433628318584,0.584070796460177,0.2566371681415929,0.8230088495575221,0.6902654867256637,0.28761061946902655,0.0
RS0056,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5540540540540541,0.03378378378378377,0.5202702702702703,0.027027027027026973,0.1216216216216216,0.5540540540540541,0.24324324324324326,0.0
RS0057,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.410958904109589,0.0,0.17123287671232879,0.410958904109589,0.17808219178082196,0.0,0.410958904109589,0.0
RS0058,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.41592920353982304,0.2035398230088496,0.008849557522123908,0.21238938053097345,0.026548672566371723,0.0,0.41592920353982304,0.0
RS0059,Kesenjangan Infrastruktur,Kesenjangan Kapabilitas IT,Kesenjangan Infrastruktur; Kesenjangan Kapabilitas IT; Tekanan Kapasitas,0.904109589041096,0.13698630136986312,0.7671232876712328,0.904109589041096,0.3561643835616438,0.0,0.684931506849315,0.0
RS0060,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.3125,0.03125,0.1875,0.3125,0.0625,0.0,0.28125,0.0
RS0061,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.40707964601769914,0.09734513274336282,0.3097345132743363,0.2831858407079646,0.24778761061946908,0.0,0.40707964601769914,0.0
RS0062,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5,0.013513513513513487,0.29054054054054057,0.41891891891891897,0.41891891891891897,0.0,0.4864864864864865,0.5
RS0063,Tekanan Kapasitas,Kesenjangan Kapabilitas IT,Tekanan Kapasitas; Kesenjangan Kapabilitas IT; Kesenjangan Adopsi; Kesenjangan Infrastruktur,0.8986486486486487,0.07432432432432434,0.8243243243243243,0.6621621621621622,0.6891891891891893,0.5405405405405406,0.8986486486486487,0.0
RS0064,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5309734513274336,0.03539823008849552,0.49557522123893805,0.23008849557522126,0.5309734513274336,0.0,0.39823008849557523,0.0
RS0065,Kesenjangan Integrasi,,Kesenjangan Integrasi,1.0,0.452054794520548,0.1917808219178082,0.013698630136986356,0.547945205479452,0.547945205479452,0.37671232876712324,1.0
RS0066,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.504424778761062,0.22123893805309736,0.17256637168141598,0.504424778761062,0.07079646017699115,0.0,0.2831858407079646,0.0
